id,tested_positive
0,8.48014
1,9.32715
2,5.183029
3,9.159983
4,16.701246
5,14.0576315
6,10.300258
7,14.13546
8,13.278819
9,10.904622
10,6.879653
11,9.527701
12,9.534715
13,17.09693
14,11.719651
15,6.6616225
16,9.479778
17,5.5660872
18,8.184887
19,9.783506
20,19.895658
21,6.026936
22,9.581242
23,10.310558
24,13.456842
25,18.610113
26,22.226332
27,8.6894245
28,7.0198884
29,15.412184
30,14.163224
31,3.7611125
32,11.955265
33,9.179849
34,8.894957
35,6.421299
36,13.515839
37,16.837786
38,9.616495
39,13.969455
40,14.941553
41,24.934938
42,5.6334624
43,11.093472
44,24.050385
45,22.110502
46,17.38303
47,5.4334817
48,10.916833
49,6.0247674
50,4.450818
51,8.249605
52,14.351488
53,16.315105
54,16.778357
55,19.399515
56,16.57393
57,10.785709
58,25.06642
59,8.360611
60,18.236013
61,19.337013
62,12.091332
63,16.79574
64,20.491285
65,12.88426
66,10.420616
67,6.1356983
68,6.88593
69,15.978242
70,21.897253
71,18.894114
72,5.9338436
73,11.416138
74,17.874481
75,14.294975
76,16.487537
77,12.8552265
78,10.127693
79,16.365564
80,23.000519
81,6.021269
82,22.946144
83,17.091745
84,23.096523
85,9.414733
86,9.516177
87,15.717875
88,26.79125
89,5.278796
90,15.457528
91,15.201099
92,19.130655
93,20.804487
94,21.149055
95,10.793902
96,30.86309
97,7.962282
98,20.402521
99,18.622213
100,18.988432
101,17.6699
102,8.8476095
103,16.720661
104,19.01023
105,12.643723
106,18.219267
107,18.784878
108,7.1200595
109,20.649202
110,22.304155
111,18.595892
112,22.852562
113,21.909254
114,11.439078
115,7.0496926
116,19.328508
117,10.570333
118,22.565813
119,17.282417
120,21.717821
121,7.3059664
122,11.96385
123,11.739858
124,19.242378
125,8.998971
126,12.124376
127,15.122054
128,15.509255
129,9.659993
130,16.232977
131,6.297373
132,9.122122
133,6.1422215
134,12.778849
135,18.770132
136,17.865034
137,21.306505
138,5.7220693
139,12.742666
140,11.633225
141,9.325914
142,11.340354
143,9.573534
144,23.28939
145,8.904336
146,11.637315
147,16.389902
148,24.022814
149,15.915435
150,11.728666
151,17.202875
152,10.887136
153,9.31848
154,21.101559
155,13.7805
156,13.337694
157,25.972723
158,21.79243
159,17.318571
160,12.717282
161,16.563704
162,10.01807
163,19.402994
164,9.672442
165,22.04098
166,11.395305
167,15.85508
168,10.796622
169,6.0900416
170,12.7870865
171,13.973892
172,11.785202
173,12.789887
174,22.71012
175,5.9561086
176,5.691543
177,22.017046
178,13.164539
179,12.767186
180,19.924313
181,17.824162
182,8.714822
183,11.214838
184,12.327545
185,12.114353
186,13.73787
187,21.023853
188,7.346877
189,10.051591
190,6.5983324
191,5.5175266
192,19.61952
193,9.696044
194,9.437967
195,18.191824
196,18.70121
197,16.26008
198,6.5919423
199,20.695314
200,6.7306843
201,11.945072
202,21.856611
203,19.799082
204,18.66191
205,8.974861
206,9.888057
207,7.7487884
208,11.4320345
209,20.036667
210,9.628031
211,13.557232
212,19.283485
213,5.4556136
214,15.881015
215,16.91262
216,16.489023
217,10.754427
218,20.493477
219,9.173517
220,6.331808
221,9.633387
222,13.995619
223,20.414438
224,16.033371
225,9.384359
226,5.022985
227,14.895855
228,15.880208
229,12.047941
230,14.926387
231,5.9107175
232,11.1052475
233,19.514265
234,14.874218
235,6.7629867
236,10.082845
237,16.95766
238,10.795459
239,16.419659
240,19.582132
241,15.22457
242,23.145247
243,16.39903
244,9.25307
245,6.246703
246,19.148026
247,9.126849
248,21.514875
249,18.213173
250,18.440708
251,13.655084
252,16.77619
253,17.737282
254,14.261862
255,10.735875
256,20.81186
257,12.147299
258,14.219824
259,16.965183
260,16.277292
261,22.06882
262,11.619678
263,11.095314
264,16.45354
265,13.3950615
266,15.258375
267,8.302886
268,11.075512
269,17.779556
270,11.453169
271,12.269016
272,17.858109
273,9.234858
274,16.671976
275,5.842843
276,15.456308
277,8.502594
278,15.406253
279,8.82653
280,16.859465
281,11.723268
282,13.00778
283,13.017964
284,7.052473
285,14.8975315
286,6.765271
287,17.520067
288,10.4287405
289,14.285274
290,16.954636
291,10.420371
292,16.253136
293,14.956921
294,15.2644005
295,17.567694
296,17.718195
297,12.76232
298,9.47762
299,12.02888
300,17.737768
301,14.006563
302,18.77843
303,15.800445
304,15.736414
305,18.144028
306,17.530987
307,14.508775
308,14.239139
309,17.884518
310,18.59258
311,18.209572
312,15.559455
313,11.808605
314,14.281466
315,9.48243
316,11.442163
317,20.357283
318,13.330498
319,17.413067
320,18.923159
321,8.317794
322,15.369992
323,10.540012
324,9.480779
325,17.392387
326,6.63043
327,18.859411
328,8.624709
329,12.761541
330,15.293725
331,15.135496
332,12.45171
333,15.291105
334,12.422251
335,10.082916
336,11.472796
337,15.186368
338,10.518985
339,6.552005
340,15.961053
341,15.360141
342,16.182678
343,13.161382
344,6.0550647
345,17.440088
346,12.177291
347,17.378338
348,20.9201
349,7.445944
350,12.704936
351,11.559042
352,12.956408
353,5.9312825
354,13.086017
355,17.118286
356,11.847715
357,17.067318
358,7.739283
359,4.558819
360,11.1272545
361,11.836606
362,14.631447
363,13.707305
364,11.693402
365,14.043262
366,9.664943
367,17.770296
368,5.7641544
369,12.961575
370,20.210482
371,10.93998
372,13.870233
373,18.807245
374,15.752728
375,16.404781
376,11.171692
377,16.861742
378,15.249645
379,5.0570807
380,24.438704
381,7.0104084
382,16.831732
383,13.879161
384,15.203041
385,18.641544
386,13.623063
